StepNumber,StepName,InputType,InputValue,StepDuration_sec,dt,StepTemp_C,VoltControlOn_chg,VoltControlOn_cdhg,VoltMax,VoltMin,CathodeMax,CathodeMin,AnodeMax,AnodeMin
1,Rest0,Rest,0,1,0.5,25,0,0,4.2,3,4.35,3.6,1.1,0.001
2,CC_discharge0,Crate,-2,10,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
3,MidRest0,Rest,0,30,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
4,CC_charge0,Crate,2,10,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
5,PostRest0,Rest,0,30,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
6,CC_discharge1,Crate,-2,10,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
7,MidRest1,Rest,0,30,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
8,CC_charge1,Crate,2,10,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
9,PostRest1,Rest,0,30,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
10,CC_discharge2,Crate,-2,10,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
11,MidRest2,Rest,0,30,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
12,CC_charge2,Crate,2,10,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
13,PostRest2,Rest,0,30,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
14,CC_discharge3,Crate,-2,10,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
15,MidRest3,Rest,0,30,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
16,CC_charge3,Crate,2,10,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
17,PostRest3,Rest,0,30,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
18,CC_discharge4,Crate,-2,10,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
19,MidRest4,Rest,0,30,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
20,CC_charge4,Crate,2,10,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
21,PostRest4,Rest,0,30,0.1,25,0,0,4.2,3,4.35,3.6,1.1,0.001
