,,,,u,stoich,,,,,
,-0.5,0,0,0.001,1,,,,,
,-0.4965860215,0.0034139785,0.1,0.01954313,0.9997311828,,,,,
,-0.3734947435,0.1265052565,3.7055083003,0.048417021,0.9900389562,,,,,
,-0.2469973129,0.2530026871,7.4107873704,0.065838143,0.9800785286,,,,,
,-0.1204959884,0.3795040116,11.1161804983,0.075677842,0.9701177944,,,,,
,0.0060020257,0.5060020257,14.8214766584,0.081807502,0.9601573208,,,,,
,0.1325027795,0.6325027795,18.5268530677,0.085356243,0.9501966315,,,,,stoich
,0.2590012121,0.7590012121,22.2321614882,0.087291926,0.940236125,,,1.456,3.156,0.753
,0.3854965372,0.8854965372,25.9373788852,0.088743687,0.9302758632,,,2.865,4.565,0.642
,0.5119952235,1.0119952235,29.6426947361,0.089711525,0.9203153367,,,4.24,5.94,0.532
,0.6384986282,1.1384986282,33.348148794,0.090356752,0.9103544387,,,5.615,7.315,0.422
,0.7649919746,1.2649919746,37.0533082333,0.090840675,0.9003943327,,,6.99,8.69,0.317
,0.8914952905,1.3914952905,40.7587596905,0.09132459,0.8904334417,,,8.364,10.064,0.207
,1.0179977185,1.5179977185,44.464185141,0.091647208,0.8804726206,,,9.64,11.34,0.104
,1.1444917118,1.6444917118,48.169363528,0.091808513,0.8705124636,,,10.174,11.874,0.065
,1.207192542,1.707192542,50.0059547733,0.0907958236,0.8655753904,,,,,
,1.2618257956,1.7618257956,51.6062359019,0.0913329513,0.8612735594,,,,,
,1.3164590492,1.8164590492,53.2065170304,0.0916802297,0.8569717284,,,,,
,1.3710923027,1.8710923027,54.8067981589,0.0920933705,0.8526698974,,,,,
,1.4257255563,1.9257255563,56.4070792874,0.0920548319,0.8483680664,,,,,
,1.4803588099,1.9803588099,58.007360416,0.0920022176,0.8440662354,,,,,
,1.5349920635,2.0349920635,59.6076415445,0.0920644823,0.8397644045,,,,,
,1.5896253171,2.0896253171,61.207922673,0.0918162767,0.8354625735,,,,,
,1.6442585706,2.1442585706,62.8082038015,0.0920787459,0.8311607425,,,,,
,1.6988918242,2.1988918242,64.4084849301,0.0922752911,0.8268589115,,,,,
,1.7535250778,2.2535250778,66.0087660586,0.0923840093,0.8225570805,,,,,
,1.8081583314,2.3081583314,67.6090471871,0.0923396199,0.8182552495,,,,,
,1.862791585,2.362791585,69.2093283156,0.092265711,0.8139534185,,,,,
,1.9174248386,2.4174248386,70.8096094442,0.0922351755,0.8096515875,,,,,
,1.9720580921,2.4720580921,72.4098905727,0.0922239326,0.8053497565,,,,,
,2.0266913457,2.5266913457,74.0101717012,0.0923472216,0.8010479255,,,,,
,2.0813245993,2.5813245993,75.6104528297,0.0923962129,0.7967460945,,,,,
,2.1359578529,2.6359578529,77.2107339582,0.0923676237,0.7924442636,,,,,
,2.1905911065,2.6905911065,78.8110150868,0.092433141,0.7881424326,,,,,
,2.24522436,2.74522436,80.4112962153,0.0926021098,0.7838406016,,,,,
,2.2998576136,2.7998576136,82.0115773438,0.0926810619,0.7795387706,,,,,
,2.3544908672,2.8544908672,83.6118584723,0.0927697898,0.7752369396,,,,,
,2.4091241208,2.9091241208,85.2121396009,0.0926348661,0.7709351086,,,,,
,2.4637573744,2.9637573744,86.8124207294,0.0929089468,0.7666332776,,,,,
,2.5183906279,3.0183906279,88.4127018579,0.0929039384,0.7623314466,,,,,
,2.5730238815,3.0730238815,90.0129829864,0.0928367142,0.7580296156,,,,,
,2.6276571351,3.1276571351,91.613264115,0.0928801667,0.7537277846,,,,,
,2.6822903887,3.1822903887,93.2135452435,0.0929838223,0.7494259536,,,,,
,2.7369236423,3.2369236423,94.813826372,0.0929781117,0.7451241227,,,,,
,2.7915568959,3.2915568959,96.4141075005,0.0929402052,0.7408222917,,,,,
,2.8461901494,3.3461901494,98.0143886291,0.0932478663,0.7365204607,,,,,
,2.900823403,3.400823403,99.6146697576,0.0931174316,0.7322186297,,,,,
,2.9554566566,3.4554566566,101.2149508861,0.0932758626,0.7279167987,,,,,
,3.0100899102,3.5100899102,102.8152320146,0.0932854367,0.7236149677,,,,,
,3.0647231638,3.5647231638,104.4155131431,0.0930487784,0.7193131367,,,,,
,3.1193564173,3.6193564173,106.0157942717,0.0930970308,0.7150113057,,,,,
,3.1739896709,3.6739896709,107.6160754002,0.0931195389,0.7107094747,,,,,
,3.2286229245,3.7286229245,109.2163565287,0.0932813136,0.7064076437,,,,,
,3.2832561781,3.7832561781,110.8166376572,0.0933498006,0.7021058127,,,,,
,3.3378894317,3.8378894317,112.4169187858,0.0932196024,0.6978039818,,,,,
,3.3925226852,3.8925226852,114.0171999143,0.093466019,0.6935021508,,,,,
,3.4471559388,3.9471559388,115.6174810428,0.0932497628,0.6892003198,,,,,
,3.5017891924,4.0017891924,117.2177621713,0.0934102339,0.6848984888,,,,,
,3.556422446,4.056422446,118.8180432999,0.0933996546,0.6805966578,,,,,
,3.6110556996,4.1110556996,120.4183244284,0.0934221028,0.6762948268,,,,,
,3.6656889532,4.1656889532,122.0186055569,0.0935449091,0.6719929958,,,,,
,3.7203222067,4.2203222067,123.6188866854,0.0935582136,0.6676911648,,,,,
,3.7749554603,4.2749554603,125.219167814,0.0936264142,0.6633893338,,,,,
,3.8295887139,4.3295887139,126.8194489425,0.0936287825,0.6590875028,,,,,
,3.8842219675,4.3842219675,128.419730071,0.0940048314,0.6547856719,,,,,
,3.9388552211,4.4388552211,130.0200111995,0.0939708285,0.6504838409,,,,,
,3.9934884746,4.4934884746,131.6202923281,0.0942309346,0.6461820099,,,,,
,4.0481217282,4.5481217282,133.2205734566,0.0943235205,0.6418801789,,,,,
,4.1027549818,4.6027549818,134.8208545851,0.0942682942,0.6375783479,,,,,
,4.1573882354,4.6573882354,136.4211357136,0.0947134981,0.6332765169,,,,,
,4.212021489,4.712021489,138.0214168421,0.0947908727,0.6289746859,,,,,
,4.2666547425,4.7666547425,139.6216979707,0.0949757268,0.6246728549,,,,,
,4.3212879961,4.8212879961,141.2219790992,0.0952928941,0.6203710239,,,,,
,4.3759212497,4.8759212497,142.8222602277,0.0955083817,0.6160691929,,,,,
,4.4305545033,4.9305545033,144.4225413562,0.0958522908,0.6117673619,,,,,
,4.4851877569,4.9851877569,146.0228224848,0.095920861,0.607465531,,,,,
,4.5398210105,5.0398210105,147.6231036133,0.0962312182,0.6031637,,,,,
,4.594454264,5.094454264,149.2233847418,0.0963513823,0.598861869,,,,,
,4.6490875176,5.1490875176,150.8236658703,0.0965585334,0.594560038,,,,,
,4.7037207712,5.2037207712,152.4239469989,0.096962874,0.590258207,,,,,
,4.7583540248,5.2583540248,154.0242281274,0.097104839,0.585956376,,,,,
,4.8129872784,5.3129872784,155.6245092559,0.0972747839,0.581654545,,,,,
,4.8676205319,5.3676205319,157.2247903844,0.0975610497,0.577352714,,,,,
,4.9222537855,5.4222537855,158.825071513,0.0976874411,0.573050883,,,,,
,4.9768870391,5.4768870391,160.4253526415,0.0981382811,0.568749052,,,,,
,5.0315202927,5.5315202927,162.02563377,0.0988554478,0.564447221,,,,,
,5.0861535463,5.5861535463,163.6259148985,0.0999755199,0.5601453901,,,,,
,5.1407867998,5.6407867998,165.226196027,0.1009748635,0.5558435591,,,,,
,5.1954200534,5.6954200534,166.8264771556,0.1015644123,0.5515417281,,,,,
,5.250053307,5.750053307,168.4267582841,0.1024876409,0.5472398971,,,,,
,5.3046865606,5.8046865606,170.0270394126,0.1037115123,0.5429380661,,,,,
,5.3593198142,5.8593198142,171.6273205411,0.1054267714,0.5386362351,,,,,
,5.4139530678,5.9139530678,173.2276016697,0.1074679423,0.5343344041,,,,,
,5.4685863213,5.9685863213,174.8278827982,0.109848169,0.5300325731,,,,,
,5.5232195749,6.0232195749,176.4281639267,0.111949979,0.5257307421,,,,,
,5.5778528285,6.0778528285,178.0284450552,0.1142023494,0.5214289111,,,,,
,5.6324860821,6.1324860821,179.6287261838,0.1160055902,0.5171270802,,,,,
,5.6871193357,6.1871193357,181.2290073123,0.1176787931,0.5128252492,,,,,
,5.7417525892,6.2417525892,182.8292884408,0.1197777868,0.5085234182,,,,,
,5.7963858428,6.2963858428,184.4295695693,0.1216574135,0.5042215872,,,,,
,5.8510190964,6.3510190964,186.0298506979,0.123552404,0.4999197562,,,,,
,5.90565235,6.40565235,187.6301318264,0.1247180799,0.4956179252,,,,,
,5.9602856036,6.4602856036,189.2304129549,0.1258587305,0.4913160942,,,,,
,6.0149188571,6.5149188571,190.8306940834,0.1267904317,0.4870142632,,,,,
,6.0695521107,6.5695521107,192.430975212,0.1273831324,0.4827124322,,,,,
,6.1241853643,6.6241853643,194.0312563405,0.1283157149,0.4784106012,,,,,
,6.1788186179,6.6788186179,195.631537469,0.1293239131,0.4741087702,,,,,
,6.2334518715,6.7334518715,197.2318185975,0.1300661803,0.4698069393,,,,,
,6.2880851251,6.7880851251,198.832099726,0.1306176607,0.4655051083,,,,,
,6.3427183786,6.8427183786,200.4323808546,0.1312144257,0.4612032773,,,,,
,6.3973516322,6.8973516322,202.0326619831,0.131730002,0.4569014463,,,,,
,6.4519848858,6.9519848858,203.6329431116,0.1322452747,0.4525996153,,,,,
,6.5066181394,7.0066181394,205.2332242401,0.1325582069,0.4482977843,,,,,
,6.561251393,7.061251393,206.8335053687,0.1326399564,0.4439959533,,,,,
,6.6158846465,7.1158846465,208.4337864972,0.1328692265,0.4396941223,,,,,
,6.6705179001,7.1705179001,210.0340676257,0.1331662011,0.4353922913,,,,,
,6.7251511537,7.2251511537,211.6343487542,0.1331739683,0.4310904603,,,,,
,6.7797844073,7.2797844073,213.2346298828,0.1330315468,0.4267886293,,,,,
,6.8344176609,7.3344176609,214.8349110113,0.1329819618,0.4224867984,,,,,
,6.8890509145,7.3890509145,216.4351921398,0.1332121824,0.4181849674,,,,,
,6.943684168,7.443684168,218.0354732683,0.133270618,0.4138831364,,,,,
,6.9983174216,7.4983174216,219.6357543969,0.1333724351,0.4095813054,,,,,
,7.0529506752,7.5529506752,221.2360355254,0.1333718974,0.4052794744,,,,,
,7.1075839288,7.6075839288,222.8363166539,0.1334887367,0.4009776434,,,,,
,7.1622171824,7.6622171824,224.4365977824,0.1334422339,0.3966758124,,,,,
,7.2168504359,7.7168504359,226.0368789109,0.1334830374,0.3923739814,,,,,
,7.2714836895,7.7714836895,227.6371600395,0.1335742198,0.3880721504,,,,,
,7.3261169431,7.8261169431,229.237441168,0.1337555918,0.3837703194,,,,,
,7.3807501967,7.8807501967,230.8377222965,0.1336412043,0.3794684885,,,,,
,7.4353834503,7.9353834503,232.438003425,0.1336481616,0.3751666575,,,,,
,7.4900167038,7.9900167038,234.0382845536,0.1336819433,0.3708648265,,,,,
,7.5446499574,8.0446499574,235.6385656821,0.1336723139,0.3665629955,,,,,
,7.599283211,8.099283211,237.2388468106,0.1338123768,0.3622611645,,,,,
,7.6539164646,8.1539164646,238.8391279391,0.1337545355,0.3579593335,,,,,
,7.7085497182,8.2085497182,240.4394090677,0.1338516585,0.3536575025,,,,,
,7.7631829718,8.2631829718,242.0396901962,0.1339256298,0.3493556715,,,,,
,7.8178162253,8.3178162253,243.6399713247,0.1339580963,0.3450538405,,,,,
,7.8724494789,8.3724494789,245.2402524532,0.1341346721,0.3407520095,,,,,
,7.9270827325,8.4270827325,246.8405335818,0.1341637314,0.3364501785,,,,,
,7.9817159861,8.4817159861,248.4408147103,0.134061843,0.3321483476,,,,,
,8.0363492397,8.5363492397,250.0410958388,0.1340642453,0.3278465166,,,,,
,8.0909824932,8.5909824932,251.6413769673,0.1342657442,0.3235446856,,,,,
,8.1456157468,8.6456157468,253.2416580959,0.1342249897,0.3192428546,,,,,
,8.2002490004,8.7002490004,254.8419392244,0.1343108357,0.3149410236,,,,,
,8.254882254,8.754882254,256.4422203529,0.1344445095,0.3106391926,,,,,
,8.3095155076,8.8095155076,258.0425014814,0.1345865314,0.3063373616,,,,,
,8.3641487611,8.8641487611,259.6427826099,0.1346679534,0.3020355306,,,,,
,8.4187820147,8.9187820147,261.2430637385,0.1347516279,0.2977336996,,,,,
,8.4734152683,8.9734152683,262.843344867,0.1349703073,0.2934318686,,,,,
,8.5280485219,9.0280485219,264.4436259955,0.135032949,0.2891300376,,,,,
,8.5826817755,9.0826817755,266.043907124,0.1355054117,0.2848282067,,,,,
,8.6373150291,9.1373150291,267.6441882526,0.1361169493,0.2805263757,,,,,
,8.6919482826,9.1919482826,269.2444693811,0.136853281,0.2762245447,,,,,
,8.7465815362,9.2465815362,270.8447505096,0.1380265438,0.2719227137,,,,,
,8.8012147898,9.3012147898,272.4450316381,0.1395272882,0.2676208827,,,,,
,8.8558480434,9.3558480434,274.0453127667,0.1413250805,0.2633190517,,,,,
,8.910481297,9.410481297,275.6455938952,0.1431092427,0.2590172207,,,,,
,8.9651145505,9.4651145505,277.2458750237,0.1447862466,0.2547153897,,,,,
,9.0197478041,9.5197478041,278.8461561522,0.1461494341,0.2504135587,,,,,
,9.0743810577,9.5743810577,280.4464372808,0.1475865616,0.2461117277,,,,,
,9.1290143113,9.6290143113,282.0467184093,0.1491786158,0.2418098967,,,,,
,9.1836475649,9.6836475649,283.6469995378,0.1512064293,0.2375080658,,,,,
,9.2382808184,9.7382808184,285.2472806663,0.1527644111,0.2332062348,,,,,
,9.292914072,9.792914072,286.8475617948,0.154405209,0.2289044038,,,,,
,9.3475473256,9.8475473256,288.4478429234,0.1562329527,0.2246025728,,,,,
,9.4021805792,9.9021805792,290.0481240519,0.1573168851,0.2203007418,,,,,
,9.4568138328,9.9568138328,291.6484051804,0.1592130821,0.2159989108,,,,,
,9.5114470864,10.0114470864,293.2486863089,0.1604511022,0.2116970798,,,,,
,9.5660803399,10.0660803399,294.8489674375,0.1614280658,0.2073952488,,,,,
,9.6207135935,10.1207135935,296.449248566,0.1625373542,0.2030934178,,,,,
,9.6753468471,10.1753468471,298.0495296945,0.1634581923,0.1987915868,,,,,
,9.7299801007,10.2299801007,299.649810823,0.1644117001,0.1944897559,,,,,
,9.7846133543,10.2846133543,301.2500919516,0.165607616,0.1901879249,,,,,
,9.8392466078,10.3392466078,302.8503730801,0.1660822275,0.1858860939,,,,,
,9.8938798614,10.3938798614,304.4506542086,0.1685534652,0.1815842629,,,,,
,9.948513115,10.448513115,306.0509353371,0.1704479518,0.1772824319,,,,,
,10.0031463686,10.5031463686,307.6512164657,0.1724785362,0.1729806009,,,,,
,10.0577796222,10.5577796222,309.2514975942,0.1745707664,0.1686787699,,,,,
,10.1124128757,10.6124128757,310.8517787227,0.1766846503,0.1643769389,,,,,
,10.1670461293,10.6670461293,312.4520598512,0.1792142953,0.1600751079,,,,,
,10.2216793829,10.7216793829,314.0523409798,0.1814996911,0.1557732769,,,,,
,10.2763126365,10.7763126365,315.6526221083,0.1840697687,0.1514714459,,,,,
,10.3309458901,10.8309458901,317.2529032368,0.1864288199,0.147169615,,,,,
,10.3855791437,10.8855791437,318.8531843653,0.1892225516,0.142867784,,,,,
,10.4402123972,10.9402123972,320.4534654938,0.1915003876,0.138565953,,,,,
,10.4948456508,10.9948456508,322.0537466224,0.1942065793,0.134264122,,,,,
,10.5494789044,11.0494789044,323.6540277509,0.1968578875,0.129962291,,,,,
,10.604112158,11.104112158,325.2543088794,0.1994920563,0.12566046,,,,,
,10.6587454116,11.1587454116,326.8545900079,0.2019396029,0.121358629,,,,,
,10.7133786651,11.2133786651,328.4548711365,0.2039487183,0.117056798,,,,,
,10.7680119187,11.2680119187,330.055152265,0.2072463045,0.112754967,,,,,
,10.8226451723,11.3226451723,331.6554333935,0.2094977568,0.108453136,,,,,
,10.8772784259,11.3772784259,333.255714522,0.2115382816,0.104151305,,,,,
,10.9319116795,11.4319116795,334.8559956506,0.2133198095,0.0998494741,,,,,
,10.986544933,11.486544933,336.4562767791,0.2146719175,0.0955476431,,,,,
,11.0411781866,11.5411781866,338.0565579076,0.2155541447,0.0912458121,,,,,
,11.0958114402,11.5958114402,339.6568390361,0.2162475831,0.0869439811,,,,,
,11.1504446938,11.6504446938,341.2571201647,0.2175196957,0.0826421501,,,,,
,11.2050779474,11.7050779474,342.8574012932,0.2188769944,0.0783403191,,,,,
,11.259711201,11.759711201,344.4576824217,0.2208105958,0.0740384881,,,,,
,11.3143444545,11.8143444545,346.0579635502,0.2237352995,0.0697366571,,,,,
,11.3689777081,11.8689777081,347.6582446788,0.2276556334,0.0654348261,,,,,
,11.4236109617,11.9236109617,349.2585258073,0.2334982248,0.0611329951,,,,,
,11.4782442153,11.9782442153,350.8588069358,0.2428428954,0.0568311642,,,,,
,11.5328774689,12.0328774689,352.4590880643,0.2570672034,0.0525293332,,,,,
,11.5875107224,12.0875107224,354.0593691928,0.2756269369,0.0482275022,,,,,
,11.642143976,12.142143976,355.6596503214,0.2973644787,0.0439256712,,,,,
,11.6967772296,12.1967772296,357.2599314499,0.3216192304,0.0396238402,,,,,
,11.7514104832,12.2514104832,358.8602125784,0.3493736041,0.0353220092,,,,,
,11.8060437368,12.3060437368,360.4604937069,0.3807190219,0.0310201782,,,,,
,11.8606769904,12.3606769904,362.0607748355,0.4176049902,0.0267183472,,,,,
,11.9153102439,12.4153102439,363.661055964,0.4614732954,0.0224165162,,,,,
,11.9699434975,12.4699434975,365.2613370925,0.5158329776,0.0181146852,,,,,
,12.0245767511,12.5245767511,366.861618221,0.5866985207,0.0138128542,,,,,
,12.0792100047,12.5792100047,368.4618993496,0.69000015,0.0095110233,,,,,
,12.1499144445,12.6499144445,370.5329270359,1.014321327,0.0039437445,,,,,
,12.1710657129,12.6710657129,371.152476,1.3,0.0022782903,,,,,
,12.2,12.7,372,2,0,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,12.7,,,,,,,,
